rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Thor Burner 2,DSAP-4B F2,Thor Burner 2,United States Air Force,1968-10-23 04:34:03+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Soyuz,Soyuz 2,Soyuz,Soviet Space Program,1968-10-25 09:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Soyuz,Soyuz 3,Soyuz,Soviet Space Program,1968-10-26 08:34:18+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-3M,Tselina-O 3,Kosmos-3M,Soviet Space Program,1968-10-30 22:00:00+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-4M 1,Voskhod,Soviet Space Program,1968-10-31 09:14:55+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Tsiklon-2A,I2P 2,Tsiklon-2A,Soviet Space Program,1968-11-01 00:27:15+00:00,90/20,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thorad SLV-2G Agena D,KH-4B 5,Thorad SLV-2G Agena D,United States Air Force,1968-11-03 21:30:00+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Titan IIIB,KH-8 17,Titan IIIB,United States Air Force,1968-11-06 19:10:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E1,Pioneer 9,Thor Delta E1,United States Air Force,1968-11-08 09:46:29+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Proton / UR-500 K/D,Zond 6,Proton,Soviet Space Program,1968-11-10 19:11:31+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-2 67,Voskhod,Soviet Space Program,1968-11-13 12:00:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Proton,Proton-4,Proton,Soviet Space Program,1968-11-16 11:40:00+00:00,81/24 (81P),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-4 50,Voskhod,Soviet Space Program,1968-11-21 12:10:01+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Voskhod,Zenit-2 68,Voskhod,Soviet Space Program,1968-11-29 12:40:34+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Europa I,STV 1,Europa I,European Launcher Development Organisation,1968-11-29 23:12:02+00:00,Launch Area 6A,RAAF Woomera Range Complex,Launch Failure
Kosmos-3M,Sfera 3,Kosmos-3M,Soviet Space Program,1968-11-30 12:00:01+00:00,132/2,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Kosmos 11K63,DS-P1-Yu 17,Kosmos 11K63,Soviet Space Program,1968-12-03 14:52:21+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Titan IIIB,KH-8 18,Titan IIIB,United States Air Force,1968-12-04 19:23:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta E1,HEOS 1,Thor Delta E1,United States Air Force,1968-12-05 18:55:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3C Centaur,OAO 2,Atlas SLV-3C Centaur,United States Air Force,1968-12-07 08:40:09+00:00,Launch Complex 36B,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-2 69,Voskhod,Soviet Space Program,1968-12-10 08:25:01+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thorad SLV-2G Agena D,KH-4A 49,Thorad SLV-2G Agena D,United States Air Force,1968-12-12 22:22:00+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 11K63,DS-U2-I 3,Kosmos 11K63,Soviet Space Program,1968-12-14 05:09:54+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Thor Delta N,ESSA 8,Thor Delta N,United States Air Force,1968-12-15 17:21:04+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya-M,Molniya-1Yu 15L,Molniya-M,Soviet Space Program,1968-12-16 09:15:03+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta M,INTELSAT III F-2,Thor Delta M,United States Air Force,1968-12-19 00:32:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos 11K63,DS-U2-GK 1,Kosmos 11K63,Soviet Space Program,1968-12-19 23:55:00+00:00,133/3 (133L),"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Saturn V,Apollo 8,Saturn V,National Aeronautics and Space Administration,1968-12-21 12:51:00+00:00,Launch Complex 39A,"Kennedy Space Center, FL, USA",Launch Successful
Kosmos 11K63,DS-U2-GF,Kosmos 11K63,Soviet Space Program,1968-12-26 09:45:02+00:00,86/4,"Kapustin Yar, Russian Federation",Launch Successful
Molniya-M,Venera-5,Molniya-M,Soviet Space Program,1969-01-05 06:28:08+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya-M,Venera-6,Molniya-M,Soviet Space Program,1969-01-10 05:51:52+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Zenit-2 70,Voskhod,Soviet Space Program,1969-01-12 12:10:00+00:00,41/1,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
Soyuz,Soyuz 4,Soyuz,Soviet Space Program,1969-01-14 07:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Soyuz,Soyuz 5,Soyuz,Soviet Space Program,1969-01-15 07:04:57+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Proton / UR-500 K/D,Soyuz 7K-L1 No.13L,Proton,Soviet Space Program,1969-01-20 04:14:36+00:00,81/23 (81L),"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor Delta C1,OSO 5,Thor Delta C1,United States Air Force,1969-01-22 16:48:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan IIIB,KH-8 19,Titan IIIB,United States Air Force,1969-01-22 19:10:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
